Entity,Code,Year,Rubella cases
United States,USA,1966,46975
United States,USA,1967,46888
United States,USA,1968,49371
United States,USA,1969,57686
United States,USA,1970,56552
United States,USA,1971,45086
United States,USA,1972,25507
United States,USA,1973,27804
United States,USA,1974,11917
United States,USA,1975,16652
United States,USA,1976,12491
United States,USA,1977,20395
United States,USA,1978,18269
United States,USA,1979,11795
United States,USA,1980,3904
United States,USA,1981,2077
United States,USA,1982,2325
United States,USA,1983,970
United States,USA,1984,752
United States,USA,1985,630
United States,USA,1986,551
United States,USA,1987,306
United States,USA,1988,225
United States,USA,1989,396
United States,USA,1990,1125
United States,USA,1991,1401
United States,USA,1992,160
United States,USA,1993,192
United States,USA,1994,227
United States,USA,1995,128
United States,USA,1996,238
United States,USA,1997,181
United States,USA,1998,364
United States,USA,1999,267
United States,USA,2000,176
United States,USA,2001,23
United States,USA,2002,18
United States,USA,2003,7
United States,USA,2004,10
United States,USA,2005,11
United States,USA,2006,11
United States,USA,2007,12
United States,USA,2008,16
United States,USA,2009,3
United States,USA,2010,5
United States,USA,2011,4
United States,USA,2012,9
United States,USA,2013,9
United States,USA,2014,6
United States,USA,2015,5
United States,USA,2016,1
United States,USA,2017,7
United States,USA,2018,4
United States,USA,2019,6
United States,USA,2020,6
United States,USA,2021,7
United States,USA,2022,7